combined_frames,effective_signal_mean,threshold_one_detection_probability,theoretical_uncoded_ber,incident_proton_kinetic_energy_per_pulse_j,qualifying_events_per_incident_proton_beam_joule,source,evidence_status
1,0.81,0.5551419337770589,0.22242903311147055,432587.69117999997,1.872452722338229e-06,"Stancil et al. (2012), arXiv:1203.2847v2",primary-paper reproduction
2,1.62,0.8021013009163853,0.09894934954180733,432587.69117999997,1.872452722338229e-06,"Stancil et al. (2012), arXiv:1203.2847v2",primary-paper reproduction
3,2.43,0.9119631674176274,0.044018416291186274,432587.69117999997,1.872452722338229e-06,"Stancil et al. (2012), arXiv:1203.2847v2",primary-paper reproduction
5,4.050000000000001,0.9825776253605065,0.00871118731974675,432587.69117999997,1.872452722338229e-06,"Stancil et al. (2012), arXiv:1203.2847v2",primary-paper reproduction
9,7.290000000000001,0.9993176719472436,0.000341164026378188,432587.69117999997,1.872452722338229e-06,"Stancil et al. (2012), arXiv:1203.2847v2",primary-paper reproduction
15,12.15,0.9999947116274186,2.644186290679482e-06,432587.69117999997,1.872452722338229e-06,"Stancil et al. (2012), arXiv:1203.2847v2",primary-paper reproduction
